solve_rank,LP_wall_s,Knuth-Dijkstra_wall_s
1,14.903271757008042,0.013589961099205539
2,14.782075129973236,0.013589961099205539
3,14.804677559994161,0.013589961099205539
4,14.934339440020267,0.013589961099205539
5,14.807829970988678,0.013589961099205539
6,14.751310811989242,0.013589961099205539
7,14.736252030998003,0.013589961099205539
8,14.6430825520074,0.013589961099205539
9,14.642809621989727,0.013589961099205539
10,14.606026048015337,0.013589961099205539
11,14.597915004007518,0.013589961099205539
12,14.363909028004855,0.013589961099205539
13,14.53532485497999,0.013589961099205539
14,14.559477408009116,0.013589961099205539
15,14.68279459400219,0.013589961099205539
16,14.415943702013465,0.013589961099205539
17,14.240791971998988,0.013589961099205539
18,14.225378883013036,0.013589961099205539
19,14.047894649003865,0.013589961099205539
20,14.169391634000931,0.013589961099205539
