solve_rank,MILP_wall_s,MILP-cap20_wall_s,LP_wall_s
1,127.3558343280165,348.7169653500023,31.019041565974476
2,141.74477150200983,211.43609625901445,29.808716357976664
3,138.46933591499692,203.105300404015,30.328427060012473
4,152.13248249900062,216.3491353180143,31.788940307014855
5,117.82979771899409,1245.2051201070135,30.260845192999113
6,138.62265094398754,553.7781632200058,29.363273171999026
7,138.31515783298528,128.62880889102235,29.420003950974206
8,110.58692741999403,367.45502784798737,31.037912489002338
9,127.04509081901051,2128.666895333008,31.005715517996578
10,151.6947749380197,202.27761194398045,29.98799697702634
11,118.66050212600385,569.1754807679972,31.766706813999917
12,121.30430893899756,484.6869689929881,30.747764005995123
13,109.03850912800408,482.0605609100021,32.15310351899825
14,118.68709914298961,424.72768640800496,30.137923050002428
15,107.43626876099734,950.7963369509962,30.244681534997653
16,118.25352010200731,383.5455499640084,30.80206579901278
17,117.18880699999863,359.11888640598045,30.27636173297651
18,103.59507418400608,371.1921011560189,32.20061879401328
19,112.44840191601543,1861.7087526399991,29.948247270978754
20,122.70333012600895,256.2377370070026,30.144497953006066
