size_reactions,MILP_wall_s,MILP-cap20_wall_s,LP_wall_s,MILP_profit_USD,MILP-cap20_profit_USD,LP_profit_USD,MILP_n_activated,MILP-cap20_n_activated,LP_n_activated
500,0.13176070799818262,0.08432188199367374,0.0623200359987095,80301783.50815865,80301783.50815865,80301783.50815865,1,1,1
1000,0.20529325201641768,0.16170690700528212,0.10800633498001844,80301639.3624916,80301639.3624916,80301639.3624916,1,1,1
2000,0.3363892500055954,0.36261596201802604,0.19709315200452693,80301639.3624916,80301639.3624916,80301639.3624916,1,1,1
5000,1.0100583799940068,1.057213233987568,0.5388047170126811,163597142.76878783,163597142.76878783,163597142.76878783,1,1,1
10000,2.596485563990427,2.699950259993784,1.35351700001047,500430257.82293284,500430257.82293284,500430257.82293284,2,2,2
20000,7.826739527983591,8.087684920988977,2.4204831779934466,520173953.2859447,520173953.2859447,520173953.2859447,11,11,11
40000,25.11517640898819,34.75243358599255,6.120336854015477,592424882.3161938,592424882.3161938,592424882.3161938,4,4,3
