solve_rank,MILP_wall_s,MILP-cap20_wall_s,LP_wall_s
1,35.98339443397708,39.30085044700536,14.903271757008042
2,34.9747854739835,198.54386173500097,14.782075129973236
3,38.07740722899325,175.226265136007,14.804677559994161
4,35.34008504200028,79.81442668102682,14.934339440020267
5,46.624485231994186,597.8698582499928,14.807829970988678
6,37.821114417980425,146.76326334799523,14.751310811989242
7,48.60870608102414,87.85480623401236,14.736252030998003
8,41.65489006700227,165.9502456219925,14.6430825520074
9,40.956808480026666,60.638796452985844,14.642809621989727
10,51.53821363198222,151.877320797008,14.606026048015337
11,39.31280635399162,37.69795993500156,14.597915004007518
12,41.34659276300226,39.89163618898601,14.363909028004855
13,51.57359616699978,56.77625255798921,14.53532485497999
14,42.42545849698945,173.41395561600802,14.559477408009116
15,36.46696419699583,138.14327175100334,14.68279459400219
16,40.58605097801774,110.76395733698155,14.415943702013465
17,43.03974706999725,190.4621755410044,14.240791971998988
18,42.20087958101067,116.90868520300137,14.225378883013036
19,49.43962550300057,47.92981219300418,14.047894649003865
20,41.96694689098513,159.92353022901807,14.169391634000931
